ZCTA,Total,Total Male%,Total Female%,Male: Under 5%,Male: 5 to 17%,Male: 18 to 39%,Male: 40 to 59%,Male: 60 and Over%,Female: Under 5%,Female: 5 to 17%,Female: 18 to 39%,Female: 40 to 59%,Female: 60 and Over%
93064,56458,0.487689964,0.512310036,0.032980269,0.070778278,0.134808176,0.147791278,0.101331964,0.024868044,0.075082362,0.139608204,0.14276099,0.129990435
93065,0,0,0,0,0,0,0,0,0,0,0,0,0
93066,71832,0.485257267,0.514742733,0.029722129,0.078168504,0.138642945,0.145450496,0.093273193,0.025086313,0.090948324,0.137515314,0.154276646,0.106916138
93067,3220,0.505279503,0.494720497,0.013043478,0.063975155,0.155279503,0.136024845,0.136956522,0.02515528,0.070807453,0.088509317,0.14689441,0.163354037
93101,410,0.42195122,0.57804878,0,0.029268293,0.204878049,0.063414634,0.124390244,0,0,0.073170732,0.134146341,0.370731707
93103,31371,0.488922891,0.511077109,0.021612317,0.060055465,0.211309808,0.11006981,0.08587549,0.027764496,0.060310478,0.202065602,0.115584457,0.105352077
93105,20538,0.522397507,0.477602493,0.028581167,0.055555556,0.209075859,0.123186289,0.105998637,0.022689648,0.076248904,0.147434025,0.105901256,0.125328659
93108,28545,0.488912244,0.511087756,0.026869855,0.066596602,0.114590997,0.136836574,0.144018217,0.021860221,0.057908565,0.131371519,0.132072167,0.167875285
93109,10401,0.459571195,0.540428805,0.007499279,0.072685319,0.093837131,0.101720988,0.183828478,0.022209403,0.075954235,0.1157581,0.134506297,0.192000769
93110,10771,0.527249095,0.472750905,0.018382694,0.047999257,0.202766688,0.122087086,0.136013369,0.013647758,0.035651286,0.126914864,0.121158667,0.175378331
93111,16849,0.512374622,0.487625378,0.02279067,0.079886047,0.156626506,0.111341919,0.141729479,0.015431183,0.061784082,0.108374384,0.128850377,0.173185352
93117,17329,0.459922673,0.540077327,0.009117664,0.067978533,0.128512897,0.120780195,0.133533383,0.025333256,0.080731721,0.131340527,0.134687518,0.167984304
93201,58546,0.485447341,0.514552659,0.015184641,0.047586513,0.300208383,0.072729136,0.049738667,0.01834455,0.048133092,0.318433369,0.069688792,0.059952858
93202,1580,0.542405063,0.457594937,0.063924051,0.146202532,0.161392405,0.119620253,0.051265823,0.017721519,0.134177215,0.163291139,0.087341772,0.055063291
93203,4273,0.53288088,0.46711912,0.027849286,0.143224901,0.185583899,0.111631172,0.064591622,0.018722209,0.149777674,0.091738825,0.148841563,0.058038849
93204,22662,0.505736475,0.494263525,0.062880593,0.120421852,0.167196187,0.109213662,0.046024181,0.060850763,0.120112964,0.16891713,0.099947048,0.044435619
93205,12961,0.622328524,0.377671476,0.047450042,0.113648638,0.234241185,0.176838207,0.050150451,0.051230615,0.097600494,0.120746856,0.069516241,0.03857727
93206,2030,0.484729064,0.515270936,0,0.127586207,0.084236453,0.13546798,0.137438424,0.044334975,0.063054187,0.124630542,0.096059113,0.187192118
93207,1704,0.544600939,0.455399061,0.060446009,0.189553991,0.123239437,0.121478873,0.049882629,0.046948357,0.118544601,0.145539906,0.102112676,0.042253521
93208,256,0.4921875,0.5078125,0.03125,0.015625,0.109375,0.07421875,0.26171875,0,0.12109375,0.02734375,0.078125,0.28125
93210,106,0.226415094,0.773584906,0,0,0.028301887,0,0.198113208,0,0,0.603773585,0,0.169811321
93212,18336,0.58824171,0.41175829,0.031958988,0.091786649,0.246673211,0.143324607,0.074498255,0.02486911,0.099312827,0.128654014,0.095277051,0.063645288
93215,23357,0.677013315,0.322986685,0.025602603,0.066789399,0.30911504,0.202937021,0.072569251,0.020636212,0.078092221,0.101896648,0.069015713,0.053345892
93218,54958,0.566487136,0.433512864,0.041813749,0.096400888,0.236380509,0.134666473,0.057225518,0.033753048,0.091051348,0.145729466,0.094435751,0.068543251
93219,871,0.525832377,0.474167623,0.047072331,0.096440873,0.14695752,0.117106774,0.118254879,0.034443169,0.114810563,0.115958668,0.103329506,0.105625718
93220,10285,0.538940204,0.461059796,0.038988819,0.154107924,0.162566845,0.142440447,0.040836169,0.037530384,0.093923189,0.16305299,0.103937773,0.062615459
93221,65,1,0,0,0,0,1,0,0,0,0,0,0
93222,14129,0.48142119,0.51857881,0.03772383,0.096255928,0.129874726,0.113029938,0.104536768,0.040059452,0.090735367,0.131007148,0.132918112,0.12385873
93223,1583,0.526216045,0.473783955,0.034112445,0.055590651,0.052432091,0.125710676,0.258370183,0.00315856,0.049273531,0.034744157,0.171193936,0.215413771
93224,10716,0.480963046,0.519036954,0.048058977,0.09518477,0.17170586,0.108902576,0.057110862,0.050111982,0.108715939,0.169279582,0.113288541,0.077640911
93225,471,0.535031847,0.464968153,0.055201699,0.099787686,0.135881104,0.13163482,0.112526539,0.012738854,0.087048832,0.106157113,0.135881104,0.123142251
93226,4782,0.486198243,0.513801757,0.008573818,0.058762024,0.089084065,0.175867838,0.153910498,0.027185278,0.067754078,0.137599331,0.150564617,0.130698453
93230,121,0.58677686,0.41322314,0,0,0.016528926,0.066115702,0.504132231,0,0.024793388,0,0.190082645,0.198347107
93234,67605,0.508202056,0.491797944,0.038976407,0.105820575,0.161067968,0.124768878,0.077568227,0.039553287,0.099105096,0.145950743,0.112225427,0.09496339
93235,7355,0.513120326,0.486879674,0.063902107,0.120870156,0.169544528,0.092861999,0.065941536,0.05003399,0.127532291,0.153365058,0.100883753,0.055064582
93238,4215,0.491577699,0.508422301,0.030367734,0.111269276,0.154922894,0.115776987,0.079240807,0.004507711,0.162514828,0.125029656,0.123606168,0.092763938
93239,673,0.585438336,0.414561664,0.026745914,0.098068351,0.080237741,0.05794948,0.32243685,0.028231798,0.02526003,0.147102526,0.002971768,0.210995542
93240,1246,0.498394864,0.501605136,0.019261637,0.136436597,0.191813804,0.077849117,0.073033708,0.029695024,0.130016051,0.158908507,0.138844302,0.044141252
93241,6327,0.500711238,0.499288762,0.015963332,0.098624941,0.114272167,0.111269164,0.160581634,0.021337127,0.060376166,0.095779991,0.12976134,0.192034139
93242,16397,0.527169604,0.472830396,0.053058486,0.125815698,0.173080442,0.126791486,0.048423492,0.036714033,0.12313228,0.160578155,0.106604867,0.045801061
93243,3474,0.454519286,0.545480714,0.03626943,0.092976396,0.146516983,0.105354059,0.073402418,0.037708693,0.176741508,0.145365573,0.117731721,0.067933218
93244,1532,0.503263708,0.496736292,0,0.032637076,0.197780679,0.154046997,0.118798956,0.010443864,0.101827676,0.144908616,0.161227154,0.078328982
93245,308,0.597402597,0.402597403,0.061688312,0.055194805,0.077922078,0.100649351,0.301948052,0,0.055194805,0.084415584,0.064935065,0.198051948
93247,38480,0.529313929,0.470686071,0.049818087,0.091839917,0.23014553,0.104963617,0.052546778,0.043425156,0.092203742,0.180067568,0.085654886,0.069334719
93249,18234,0.528079412,0.471920588,0.043325655,0.121586048,0.150762312,0.138367884,0.074037512,0.02972469,0.107765712,0.158604804,0.099045739,0.076779642
93250,1875,0.530133333,0.469866667,0.061333333,0.1232,0.208533333,0.106133333,0.030933333,0.038933333,0.134933333,0.195733333,0.085866667,0.0144
93251,16191,0.564202335,0.435797665,0.051510098,0.132913347,0.222592798,0.116546229,0.040639862,0.035945896,0.118337348,0.154839108,0.08554135,0.041133963
93252,202,0.514851485,0.485148515,0.044554455,0.04950495,0.178217822,0.143564356,0.099009901,0.00990099,0.079207921,0.113861386,0.118811881,0.163366337
93254,2488,0.681270096,0.318729904,0.025723473,0.053858521,0.274919614,0.234726688,0.092041801,0.025723473,0.060289389,0.074758842,0.080385852,0.077572347
93255,786,0.508905852,0.491094148,0.03562341,0.113231552,0.111959288,0.108142494,0.139949109,0.089058524,0.071246819,0.114503817,0.114503817,0.10178117
