,ZCTA,All_death,Heart_death
768,93622,44.0,
769,93625,65.0,17.0
770,93626,17.0,
771,93627,0.0,0.0
772,93630,105.0,25.0
773,93631,125.0,30.0
774,93634,0.0,0.0
775,93635,241.0,45.0
776,93636,108.0,18.0
777,93637,257.0,59.0
778,93638,270.0,61.0
779,93640,51.0,
780,93643,41.0,
781,93644,115.0,26.0
782,93646,42.0,
783,93647,41.0,
784,93648,85.0,17.0
785,93650,42.0,
786,93651,16.0,
787,93653,11.0,
788,93654,232.0,59.0
789,93656,40.0,
790,93657,245.0,48.0
791,93660,14.0,
792,93662,207.0,44.0
793,93667,21.0,
794,93675,41.0,
795,93701,69.0,22.0
796,93702,306.0,59.0
797,93703,222.0,44.0
798,93704,273.0,72.0
799,93705,269.0,55.0
800,93706,384.0,91.0
801,93710,286.0,74.0
802,93711,358.0,84.0
803,93720,376.0,107.0
804,93721,84.0,26.0
805,93722,525.0,112.0
806,93723,74.0,14.0
807,93725,194.0,50.0
808,93726,311.0,78.0
809,93727,547.0,122.0
810,93728,155.0,33.0
811,93730,74.0,23.0
812,93901,236.0,50.0
813,93905,189.0,37.0
814,93906,326.0,75.0
815,93907,141.0,27.0
816,93908,83.0,16.0
817,93921,36.0,
818,93923,179.0,33.0
819,93924,57.0,12.0
820,93926,40.0,
821,93927,78.0,19.0
822,93928,0.0,0.0
823,93930,79.0,15.0
824,93933,139.0,19.0
825,93940,314.0,71.0
826,93943,0.0,0.0
827,93950,144.0,29.0
828,93953,58.0,17.0
829,93955,216.0,46.0
830,93960,88.0,19.0
831,94002,179.0,48.0
832,94005,21.0,
833,94010,311.0,66.0
834,94014,280.0,65.0
835,94015,448.0,116.0
836,94019,119.0,22.0
837,94022,160.0,32.0
838,94024,156.0,31.0
839,94025,242.0,55.0
840,94027,50.0,14.0
841,94028,56.0,11.0
842,94030,174.0,47.0
843,94037,19.0,
844,94038,21.0,
845,94040,187.0,44.0
846,94041,45.0,0.0
847,94043,110.0,26.0
848,94044,247.0,63.0
849,94061,244.0,40.0
850,94062,181.0,31.0
851,94063,123.0,37.0
852,94065,38.0,13.0
853,94066,271.0,63.0
854,94070,188.0,39.0
855,94074,0.0,0.0
856,94080,433.0,108.0
857,94085,58.0,14.0
858,94086,163.0,32.0
859,94087,330.0,64.0
860,94089,143.0,23.0
861,94102,379.0,74.0
862,94103,268.0,59.0
863,94104,0.0,0.0
864,94105,26.0,0.0
865,94107,116.0,22.0
866,94108,104.0,29.0
867,94109,478.0,112.0
868,94110,375.0,72.0
869,94111,34.0,0.0
870,94112,580.0,156.0
871,94114,147.0,26.0
872,94115,283.0,70.0
873,94116,405.0,88.0
874,94117,196.0,35.0
875,94118,273.0,59.0
876,94121,311.0,75.0
877,94122,363.0,87.0
878,94123,135.0,29.0
879,94124,274.0,67.0
880,94127,146.0,34.0
881,94128,0.0,0.0
882,94129,12.0,
883,94131,176.0,40.0
884,94132,193.0,51.0
885,94133,216.0,50.0
886,94134,290.0,56.0
887,94158,24.0,0.0
